,w1,w2,w3,w4,w5,tll5,nu5,tll4,nu4,tll3,nu3,tll2,nu2,mean_tll5,mean_tll_per_unique5,mean_tll4,mean_tll_per_unique4,mean_tll3,mean_tll_per_unique3,mean_tll2,mean_tll_per_unique2
145,doree,slaty,chink,frump,bewig,-66.16580716141785,21,-50.18450975787918,18,-35.34879839240484,14,-22.415945386584397,9,-13.23316143228357,-3.150752721972278,-12.546127439469794,-2.7880283198821765,-11.782932797468279,-2.52491417088606,-11.207972693292199,-2.4906605985093773
146,sared,bliny,chout,pogge,muzak,-66.07059480131213,20,-49.56898133869595,17,-36.04619303547764,15,-23.037839855380895,10,-13.214118960262425,-3.3035297400656063,-12.392245334673987,-2.915822431687997,-12.015397678492548,-2.4030795356985095,-11.518919927690447,-2.3037839855380895
147,setae,crony,build,whump,gaffs,-69.34189515409005,20,-51.53250567832397,18,-35.593376947774544,14,-22.707838383560528,9,-13.86837903081801,-3.4670947577045026,-12.883126419580993,-2.8629169821291094,-11.864458982591515,-2.542384067698182,-11.353919191780264,-2.5230931537289476
148,peace,soily,brunt,faded,chowk,-62.39976066143826,19,-47.42952759294236,16,-34.209043398958926,14,-22.08206905429914,9,-12.479952132287652,-3.284197929549382,-11.85738189823559,-2.9643454745588973,-11.403014466319641,-2.4435030999256377,-11.04103452714957,-2.45356322825546
149,peare,soily,bundt,chowk,maxim,-67.6088192611451,20,-50.6704911076504,18,-35.7002580391545,14,-22.08206905429914,9,-13.52176385222902,-3.380440963057255,-12.6676227769126,-2.8150272837583556,-11.9000860130515,-2.5500184313681786,-11.04103452714957,-2.45356322825546
150,prier,slaty,bound,chowk,gamme,-64.07902539364234,20,-50.23043258732122,18,-35.26019951882532,14,-22.41881702291692,9,-12.815805078728468,-3.203951269682117,-12.557608146830304,-2.790579588184512,-11.75339983960844,-2.518585679916094,-11.20940851145846,-2.490979669212991
151,plane,brosy,thick,fumed,jaggs,-68.01478656760875,21,-50.218026989011925,19,-36.30474068003443,15,-22.910169912136762,10,-13.60295731352175,-3.2387993603623215,-12.554506747252981,-2.6430540520532593,-12.101580226678143,-2.4203160453356287,-11.455084956068381,-2.2910169912136764
152,seamy,point,brugh,flock,waded,-63.81509629103122,21,-50.105447970062976,19,-36.865766341022294,15,-23.277419420965536,10,-12.763019258206244,-3.0388141090967244,-12.526361992515744,-2.6371288405296305,-12.288588780340765,-2.457717756068153,-11.638709710482768,-2.3277419420965537
153,clary,shine,doubt,kamik,wigga,-69.28591623278412,19,-53.03181457499297,17,-36.993060992381956,15,-22.478722514487913,10,-13.857183246556824,-3.6466271701465325,-13.257953643748243,-3.119518504411351,-12.331020330793985,-2.466204066158797,-11.239361257243957,-2.247872251448791
154,carle,shiny,doubt,gramp,jeffs,-71.27763565690574,20,-51.531928094489864,18,-37.1479379889108,15,-22.633599511016754,10,-14.255527131381148,-3.563881782845287,-12.882982023622466,-2.862884894138326,-12.3826459963036,-2.4765291992607197,-11.316799755508377,-2.2633599511016755
155,alane,soupy,chirt,faded,bemix,-65.95371211764817,19,-49.26326719220311,16,-36.04278299821968,14,-23.73201757957429,9,-13.190742423529633,-3.471248006192009,-12.315816798050777,-3.0789541995126943,-12.01426099940656,-2.5744844998728342,-11.866008789787145,-2.636890842174921
156,prose,gaily,bundt,whack,meffs,-68.72000391409443,21,-50.61190514107934,19,-36.78036700250206,15,-23.162178017646703,10,-13.744000782818887,-3.2723811387664017,-12.652976285269835,-2.663784481109439,-12.260122334167354,-2.4520244668334708,-11.581089008823351,-2.31621780176467
157,stane,pricy,bough,fjeld,kamik,-70.39236059547827,21,-54.35360701286725,19,-36.69103263897219,15,-23.14648834157383,10,-14.078472119095654,-3.3520171712132507,-13.588401753216813,-2.8607161585719605,-12.23034421299073,-2.446068842598146,-11.573244170786914,-2.3146488341573828
158,toney,saick,brugh,dwalm,puffa,-69.9797643673451,21,-52.45389552823116,19,-36.8282821561688,15,-23.23993523611204,10,-13.995952873469019,-3.332369731778338,-13.11347388205779,-2.7607313435911136,-12.276094052056266,-2.455218810411253,-11.61996761805602,-2.323993523611204
159,arose,bliny,dutch,swamp,gaffs,-69.98160915366137,20,-52.172219677895285,18,-37.15567673852389,15,-23.060038609368732,10,-13.996321830732274,-3.4990804576830685,-13.043054919473821,-2.89845664877196,-12.385225579507962,-2.4770451159015923,-11.530019304684366,-2.3060038609368734
160,bluey,saint,frock,vozhd,gimme,-68.16568829338749,21,-53.90998968950073,19,-35.22447006687258,15,-22.267507720941545,10,-13.633137658677498,-3.2459851568279756,-13.477497422375183,-2.8373678783947756,-11.74149002229086,-2.348298004458172,-11.133753860470772,-2.2267507720941544
