,w1,w2,w3,w4,w5,tll5,nu5,tll4,nu4,tll3,nu3,tll2,nu2,mean_tll5,mean_tll_per_unique5,mean_tll4,mean_tll_per_unique4,mean_tll3,mean_tll_per_unique3,mean_tll2,mean_tll_per_unique2
1214,snide,coaly,brugh,kempt,waffs,-71.87173262287561,21,-53.73956975484648,19,-37.13762308809673,15,-23.549276168039974,10,-14.374346524575122,-3.422463458232172,-13.43489243871162,-2.828398408149815,-12.379207696032244,-2.475841539206449,-11.774638084019987,-2.354927616803997
1215,bodle,saint,curvy,whomp,graff,-67.93463973969739,21,-52.152847666146954,19,-36.60298935778571,15,-23.241489349879867,10,-13.586927947939477,-3.2349828447474946,-13.038211916536738,-2.7448867192708923,-12.200996452595236,-2.4401992905190473,-11.620744674939933,-2.3241489349879867
1216,slipt,crane,fudgy,bokeh,maxim,-68.94446902668307,21,-52.00614087318836,19,-37.33594382582615,15,-23.325644651629695,10,-13.788893805336613,-3.2830699536515744,-13.00153521829709,-2.7371653091151766,-12.445314608608717,-2.4890629217217435,-11.662822325814847,-2.3325644651629696
1217,cogie,slaty,drunk,bumph,whiff,-68.99317995220188,21,-52.131510123724794,19,-36.78645164757096,15,-23.417785056367702,10,-13.798635990440378,-3.285389521533423,-13.032877530931199,-2.7437636907223575,-12.262150549190322,-2.452430109838064,-11.708892528183851,-2.3417785056367704
1218,baste,crony,guild,whump,koffs,-72.54328012643005,21,-52.93930072384286,19,-37.000171993293435,15,-23.709168320971255,10,-14.50865602528601,-3.4544419107823834,-13.234825180960716,-2.786278985465414,-12.333390664431144,-2.466678132886229,-11.854584160485627,-2.3709168320971257
1219,ahint,souce,braky,fjeld,maxim,-70.40168970999892,20,-53.46336155650422,18,-35.800787182609156,14,-23.470353457024085,10,-14.080337941999783,-3.520084485499946,-13.365840389126054,-2.970186753139123,-11.933595727536385,-2.5571990844720824,-11.735176728512043,-2.3470353457024085
1220,trike,soapy,bunch,fjeld,maxim,-72.13620432934349,21,-55.19787617584878,19,-37.53530180195372,15,-24.103363652032208,10,-14.427240865868697,-3.4350573490163563,-13.799469043962196,-2.9051513776762516,-12.511767267317907,-2.5023534534635816,-12.051681826016104,-2.4103363652032206
1221,sepoy,brant,child,muzak,gaffe,-68.85397556077946,21,-53.48575734129358,19,-36.98414387867741,15,-23.978479965539343,10,-13.770795112155891,-3.2787607409894983,-13.371439335323394,-2.815039860068083,-12.328047959559136,-2.4656095919118273,-11.989239982769671,-2.397847996553934
1222,gamey,suint,broch,fjeld,wokka,-71.81553379762944,21,-53.91000368513266,19,-36.247429311237596,15,-23.734985312907774,10,-14.363106759525888,-3.41978732369664,-13.477500921283164,-2.837368615006982,-12.0824764370792,-2.41649528741584,-11.867492656453887,-2.3734985312907773
1223,conge,slaty,dhikr,frump,vibex,-69.93873071779072,22,-52.32316018881657,19,-37.487448823342234,15,-23.420749119301053,10,-13.987746143558144,-3.179033214445033,-13.080790047204143,-2.7538505362535037,-12.495816274447412,-2.499163254889482,-11.710374559650527,-2.3420749119301054
1224,beath,soily,crunk,fadge,whomp,-64.79772377567957,21,-49.24786546731833,18,-35.87896126821662,15,-23.08510063044276,10,-12.959544755135914,-3.0856058940799795,-12.311966366829582,-2.7359925259621294,-11.959653756072207,-2.391930751214441,-11.54255031522138,-2.308510063044276
1225,steel,crony,faugh,bovid,kempt,-68.1933974033843,21,-51.59145073663454,18,-37.40952150717656,14,-23.711425009829956,9,-13.63867948067686,-3.247304638256395,-12.897862684158635,-2.866191707590808,-12.469840502392186,-2.67210867908404,-11.855712504914978,-2.6346027788699953
1226,seron,gaily,butch,domed,pluff,-67.992553304613,19,-51.51918439248942,17,-37.80809701529356,15,-24.15301531405784,10,-13.5985106609226,-3.5785554370848947,-12.879796098122355,-3.0305402583817305,-12.602699005097854,-2.520539801019571,-12.07650765702892,-2.4153015314057837
1227,firry,slane,chout,boded,primp,-63.39582837246989,18,-49.07824158147105,16,-36.01130958743586,14,-23.00295640733912,9,-12.679165674493978,-3.5219904651372165,-12.269560395367762,-3.0673900988419405,-12.00376986247862,-2.5722363991025614,-11.50147820366956,-2.5558840452599023
1228,filet,soapy,crunk,hewgh,damme,-67.1971035519642,20,-53.31341942583181,18,-36.90043598908736,15,-24.1065753513135,10,-13.439420710392842,-3.3598551775982104,-13.328354856457953,-2.961856634768434,-12.300145329695788,-2.4600290659391577,-12.05328767565675,-2.41065753513135
1229,sucre,gaily,month,bided,pluff,-67.61066392640602,19,-51.137295014282444,17,-37.748779396119794,15,-24.154802661639504,10,-13.522132785281205,-3.5584559961266327,-12.784323753570611,-3.008076177310732,-12.582926465373264,-2.516585293074653,-12.077401330819752,-2.4154802661639505
1230,cardy,shine,boult,gramp,jeffs,-69.80745981180516,20,-50.06175224938928,18,-35.67776214381021,15,-23.47885446977416,10,-13.961491962361032,-3.490372990590258,-12.51543806234732,-2.7812084582994046,-11.89258738127007,-2.378517476254014,-11.73942723488708,-2.3478854469774157
1231,curat,soily,pwned,gamme,blaff,-67.07712118588282,19,-51.4180749373309,17,-37.56948213100977,15,-23.089121436944005,10,-13.415424237176563,-3.5303747992569905,-12.854518734332725,-3.0245926433724057,-12.52316071033659,-2.504632142067318,-11.544560718472002,-2.3089121436944007
1232,biome,slaty,crunk,vozhd,whiff,-71.76771548713859,21,-54.9060456586615,19,-36.22052603603334,15,-23.42666539825948,10,-14.353543097427718,-3.4175102612923136,-13.726511414665374,-2.8897918767716577,-12.073508678677781,-2.414701735735556,-11.71333269912974,-2.342666539825948
1233,tarot,slice,bungy,whomp,doved,-65.96612026092345,20,-52.03992150411064,18,-36.490063195749386,14,-23.32974747726231,9,-13.19322405218469,-3.2983060130461723,-13.00998037602766,-2.891106750228369,-12.16335439858313,-2.6064330854106705,-11.664873738631155,-2.5921941641402566
1234,direr,slaty,pouch,known,gamme,-67.91045479569489,19,-54.06186198937377,17,-36.482448480741084,14,-23.42832601392685,9,-13.582090959138977,-3.57423446293131,-13.515465497343442,-3.180109528786692,-12.160816160247029,-2.6058891771957917,-11.714163006963425,-2.603147334880761
1235,trued,soily,chank,gamme,bebop,-64.8211367133421,19,-49.731272029898236,17,-35.88267922357711,15,-23.092677342329992,10,-12.96422734266842,-3.4116387743864265,-12.432818007474559,-2.92536894293519,-11.960893074525702,-2.3921786149051405,-11.546338671164996,-2.309267734232999
1236,clued,saint,frowy,bumph,gorge,-65.01637937589413,20,-52.16469535617037,19,-36.81963688001653,15,-23.25403205590254,10,-13.003275875178826,-3.2508189687947064,-13.041173839042592,-2.745510281903704,-12.273212293338844,-2.454642458667769,-11.62701602795127,-2.3254032055902543
1237,siver,coaly,bundt,whomp,gaffe,-68.0989993116305,21,-52.73078109214461,19,-37.18092278378336,15,-23.562733798928,10,-13.619799862326099,-3.2428094910300236,-13.182695273036153,-2.775304268007611,-12.393640927927786,-2.4787281855855574,-11.781366899464,-2.3562733798928
1238,petre,soily,chank,fumed,biggs,-65.88629067087356,20,-49.79695815620223,18,-35.88367184722473,14,-23.093669965977618,9,-13.177258134174712,-3.294314533543678,-12.449239539050557,-2.7664976753445685,-11.961223949074911,-2.5631194176589096,-11.546834982988809,-2.565963329553069
1239,whine,slaty,brock,fumed,jaggs,-67.85793989927117,21,-50.061180320674346,19,-36.14789401169685,15,-23.43000603915222,10,-13.571587979854234,-3.2313304713938655,-12.515295080168586,-2.634798964246018,-12.049298003898949,-2.40985960077979,-11.71500301957611,-2.3430006039152222
1240,salve,crony,whipt,fumed,bobak,-65.95204201461551,21,-51.90656997116273,19,-37.993283662185235,15,-23.721417928990558,10,-13.190408402923103,-3.1405734292674055,-12.976642492790683,-2.731924735324354,-12.664427887395078,-2.5328855774790155,-11.860708964495279,-2.372141792899056
1241,goest,briny,cauld,whomp,quaff,-69.77439498757542,21,-52.05718818961029,19,-36.507329881249035,15,-23.769983132254104,10,-13.954878997515085,-3.3225902375035914,-13.014297047402572,-2.7398520099794887,-12.169109960416344,-2.433821992083269,-11.884991566127052,-2.3769983132254104
1242,butle,soapy,grind,chowk,maxim,-68.8391238662256,21,-51.9007957127309,19,-36.930562644234996,15,-24.115173287603746,10,-13.76782477324512,-3.2780535174393144,-12.975198928182724,-2.7316208269858366,-12.310187548078332,-2.4620375096156666,-12.057586643801873,-2.4115173287603744
1243,samek,crony,built,vozhd,pluff,-71.00873490717169,21,-54.5353659950481,19,-35.84984637241995,15,-23.72251858211294,10,-14.201746981434336,-3.3813683289129375,-13.633841498762026,-2.8702824207920052,-11.94994879080665,-2.3899897581613296,-11.86125929105647,-2.372251858211294
1244,cuvee,soily,brant,whomp,gadid,-64.23876777014733,20,-50.155605940877535,18,-34.60574763251629,14,-23.096885282473536,9,-12.847753554029467,-3.2119383885073667,-12.538901485219384,-2.7864225522709742,-11.535249210838764,-2.4718391166083067,-11.548442641236768,-2.566320586941504
1245,troll,saine,pudgy,whack,bemix,-67.23369410285537,21,-50.54324917741032,18,-36.71171103883304,14,-22.744275569068364,9,-13.446738820571074,-3.2016044810883506,-12.63581229435258,-2.8079582876339066,-12.237237012944346,-2.62226507420236,-11.372137784534182,-2.527141729896485
1246,monte,saury,child,graff,bebop,-67.42867880290578,19,-52.3388141194619,17,-36.55702204591146,15,-23.551358132773395,10,-13.485735760581155,-3.548877831731883,-13.084703529865475,-3.078753771733053,-12.18567401530382,-2.437134803060764,-11.775679066386697,-2.3551358132773395
1247,taser,bliny,pouch,fidge,muzak,-67.38756093599079,21,-50.88594747337463,18,-37.1099374767073,15,-24.055815009893074,10,-13.477512187198158,-3.2089314731424188,-12.721486868343657,-2.826997081854146,-12.369979158902433,-2.4739958317804867,-12.027907504946537,-2.4055815009893076
1248,there,soily,maund,crack,bebop,-63.77636827667449,18,-48.68650359323062,16,-36.3317067186248,14,-23.098922324064254,9,-12.755273655334898,-3.5431315709263607,-12.171625898307655,-3.0429064745769137,-12.110568906208266,-2.5951219084732,-11.549461162032127,-2.5665469248960284
1249,spilt,crane,fudgy,bokeh,maxim,-68.96367777095674,21,-52.025349617462034,19,-37.355152570099825,15,-23.34485339590337,10,-13.792735554191347,-3.2839846557598444,-13.006337404365508,-2.7381762956558964,-12.451717523366609,-2.4903435046733216,-11.672426697951686,-2.334485339590337
1250,chott,saine,burly,domed,graff,-64.49190497812305,18,-48.71011290457261,16,-34.999025527376745,14,-22.74687859305764,9,-12.89838099562461,-3.582883609895725,-12.177528226143153,-3.044382056535788,-11.666341842458914,-2.499930394812625,-11.37343929652882,-2.5274309547841822
1251,shiur,coate,badly,known,frump,-68.51744857663206,20,-53.68173721115772,17,-36.102323702525034,14,-23.57024684042089,10,-13.703489715326413,-3.425872428831603,-13.42043430278943,-3.15774924771516,-12.034107900841677,-2.5787374073232168,-11.785123420210445,-2.3570246840420888
1252,chirr,slane,pouty,faded,bemix,-65.11291985641364,19,-48.42247493096858,16,-35.20199073698515,14,-23.01732770236098,9,-13.022583971282728,-3.4269957819165073,-12.105618732742146,-3.0264046831855365,-11.733996912328385,-2.514427909784654,-11.50866385118049,-2.5574808558178868
1253,frill,soave,bunty,chowk,paged,-64.8725070003664,21,-51.58366087570453,18,-36.61342780720863,14,-24.05094908947717,9,-12.97450140007328,-3.0891670000174476,-12.895915218926133,-2.8657589375391406,-12.20447593573621,-2.615244843372045,-12.025474544738586,-2.6723276766085746
1254,glost,crane,bumpy,dhikr,sowff,-68.8217218724792,21,-51.801241161566125,19,-37.73454145752494,15,-23.347737912344293,10,-13.76434437449584,-3.277224851070438,-12.950310290391531,-2.7263811137666383,-12.578180485841647,-2.5156360971683296,-11.673868956172146,-2.3347737912344293
1255,cruor,saine,glyph,motet,biddy,-65.33085005958742,18,-51.54641244116025,16,-39.14853267995052,14,-22.749231172852202,9,-13.066170011917484,-3.629491669977079,-12.886603110290062,-3.2216507775725156,-13.04951089331684,-2.7963237628536084,-11.374615586426101,-2.5276923525391335
1256,pheer,soily,gaunt,crack,buffe,-63.312624612130946,18,-47.8606683410004,16,-35.50587146639458,14,-23.102756809723182,9,-12.66252492242619,-3.5173680340072746,-11.9651670852501,-2.991291771312525,-11.835290488798194,-2.5361336761710414,-11.551378404861591,-2.5669729788581312
1257,mater,soily,chunk,budge,pizza,-68.88628158489422,20,-50.1303237190013,18,-36.51129073353317,15,-23.103176857669027,10,-13.777256316978844,-3.444314079244711,-12.532580929750324,-2.785017984388961,-12.170430244511058,-2.4340860489022114,-11.551588428834513,-2.3103176857669028
1258,brack,soily,fumet,hewgh,panne,-64.52133322187828,20,-52.671882540519064,18,-36.25889910377462,15,-23.10382356870413,10,-12.904266644375657,-3.226066661093914,-13.167970635129766,-2.9262156966955035,-12.086299701258206,-2.417259940251641,-11.551911784352065,-2.310382356870413
1259,cully,saine,broth,domed,pluff,-65.53739903212698,18,-49.06403012000341,16,-35.35294274280755,14,-22.7517032456946,9,-13.107479806425397,-3.6409666128959435,-12.266007530000852,-3.066501882500213,-11.784314247602516,-2.5252101959148248,-11.3758516228473,-2.5279670272994
1260,punny,soare,clift,hewgh,baked,-67.46021985130874,20,-52.71302604788691,17,-36.300042611142466,14,-22.873892164541388,9,-13.492043970261747,-3.373010992565437,-13.178256511971728,-3.100766238110995,-12.100014203714155,-2.592860186510176,-11.436946082270694,-2.541543573837932
1261,flame,shiny,court,paged,kebab,-67.61821924616082,20,-49.06519438278174,18,-35.77634825811987,15,-23.648377830179456,10,-13.523643849232164,-3.380910962308041,-12.266298595695435,-2.7258441323767633,-11.925449419373289,-2.3850898838746577,-11.824188915089728,-2.3648377830179457
1262,clear,shiny,doubt,gamme,quaff,-69.72854532613293,19,-52.011338528167805,17,-38.162745721846676,15,-23.648407243952633,10,-13.945709065226586,-3.6699234382175225,-13.002834632041951,-3.0594905016569296,-12.72091524061556,-2.5441830481231116,-11.824203621976316,-2.3648407243952634
1263,ceder,soily,gaunt,bumph,viffs,-70.04108808768942,20,-50.855192257169605,18,-35.51013378101577,14,-23.107019124344376,9,-14.008217617537884,-3.502054404384471,-12.713798064292401,-2.8252884587316447,-11.83671126033859,-2.536438127215412,-11.553509562172188,-2.5674465693715973
1264,patty,slice,brond,muzak,hewgh,-68.75556091241549,21,-52.342577475671035,18,-35.840964013054865,14,-23.34504931667626,9,-13.751112182483098,-3.274074329162642,-13.085644368917759,-2.907920970870613,-11.946988004351622,-2.5600688580753475,-11.67252465833813,-2.5938943685195843
1265,solan,trice,pudgy,chawk,bemix,-69.35692051219439,21,-52.66647558674934,18,-37.92508409068229,15,-23.957648620917617,10,-13.871384102438878,-3.302710500580685,-13.166618896687336,-2.9259153103749633,-12.641694696894097,-2.5283389393788194,-11.978824310458808,-2.3957648620917618
1266,pored,slaty,chink,begum,wauff,-68.6549306349672,21,-52.06157797063324,19,-36.37741830925291,15,-23.44456530343247,10,-13.73098612699344,-3.2692824111889145,-13.01539449265831,-2.7400830510859597,-12.125806103084303,-2.4251612206168605,-11.722282651716235,-2.3444565303432467
1267,derry,saint,block,whump,graff,-67.99167300460053,21,-52.209880931050094,19,-36.27075220050067,14,-23.270144944846386,9,-13.598334600920106,-3.237698714504787,-13.052470232762523,-2.747888470055268,-12.090250733500222,-2.590768014321476,-11.635072472423193,-2.5855716605384873
1268,perst,coaly,duing,shmek,wauff,-67.64957753985314,20,-51.05622487551918,18,-37.831019569617084,15,-23.57920665469013,10,-13.529915507970628,-3.382478876992657,-12.764056218879794,-2.836456937528843,-12.610339856539028,-2.5220679713078056,-11.789603327345064,-2.357920665469013
1269,brond,saice,fluty,khaph,gemma,-67.55488465319245,20,-51.60133961457567,18,-35.4903388004252,15,-22.936290155601196,10,-13.510976930638488,-3.377744232659622,-12.900334903643918,-2.8667410896986483,-11.830112933475066,-2.366022586695013,-11.468145077800598,-2.2936290155601196
1270,rorty,saine,pluck,hewgh,bided,-66.14510456078214,19,-52.756588942619494,17,-36.34360550587505,14,-22.757517159077963,9,-13.229020912156429,-3.4813212926727446,-13.189147235654874,-3.1033287613305585,-12.114535168625016,-2.5959718218482175,-11.378758579538982,-2.528613017675329
1271,thrae,soily,crunk,faded,weamb,-65.48858942491665,19,-49.12575577185767,16,-35.90527157787424,14,-23.111410940100377,10,-13.09771788498333,-3.4467678644692974,-12.281438942964417,-3.0703597357411043,-11.968423859291413,-2.5646622555624456,-11.555705470050189,-2.3111410940100376
1272,wanle,soupy,chirt,bided,flamm,-65.23062791444094,19,-50.44845810833299,17,-37.05994249017034,15,-24.749177071524954,10,-13.04612558288819,-3.4331909428653127,-12.612114527083248,-2.9675563593137055,-12.353314163390115,-2.470662832678023,-12.374588535762477,-2.4749177071524953
1273,morel,saint,pudgy,whack,bluff,-67.34981464754125,21,-51.07265640437229,19,-37.24111826579501,15,-23.273682796030336,10,-13.46996292950825,-3.207134030835298,-12.768164101093072,-2.6880345475985417,-12.413706088598337,-2.4827412177196675,-11.636841398015168,-2.3273682796030335
1274,crick,slane,pouty,hewgh,faded,-64.84629884693769,19,-51.625814652954254,17,-35.21283121620981,14,-23.028168181585627,9,-12.969259769387538,-3.4129630972072467,-12.906453663238564,-3.036812626644368,-11.737610405403268,-2.515202229729272,-11.514084090792814,-2.558685353509514
1275,bitsy,crane,mould,phizz,skoff,-73.39856444342158,20,-55.34661074667801,18,-36.79157329531459,15,-23.357530775281226,10,-14.679712888684316,-3.669928222171079,-13.836652686669503,-3.0748117081487782,-12.263857765104865,-2.452771553020973,-11.678765387640613,-2.3357530775281226
1276,drent,soily,gauch,buffe,whomp,-67.29218149125343,20,-51.742323182892186,17,-36.29036691176164,15,-23.112512179232027,10,-13.458436298250685,-3.3646090745626713,-12.935580795723046,-3.043666069581893,-12.096788970587212,-2.4193577941174427,-11.556256089616014,-2.3112512179232025
1277,snail,corey,bumph,twixt,fadge,-69.66226433749513,21,-56.293360138393425,18,-38.88571037619701,15,-23.540651900043173,10,-13.932452867499027,-3.317250682737863,-14.073340034598356,-3.1274088965774123,-12.961903458732337,-2.5923806917464676,-11.770325950021586,-2.3540651900043175
1278,dogey,saint,churl,buffe,pimps,-68.78298964064957,19,-51.993093347763235,17,-36.54113707663269,15,-23.274022326273368,10,-13.756597928129915,-3.6201573495078723,-12.998273336940809,-3.0584172557507787,-12.180379025544228,-2.4360758051088456,-11.637011163136684,-2.3274022326273367
1279,freed,soily,chant,bumph,gawks,-67.77727688294368,21,-50.447460487439486,18,-35.10240201128565,14,-23.11353594866258,9,-13.555455376588736,-3.2274893753782705,-12.611865121859871,-2.802636693746638,-11.70080067042855,-2.5073144293775464,-11.55676797433129,-2.568170660962509
1280,caple,shiny,grout,boded,flamm,-64.43884487070295,19,-49.65667506459501,17,-36.58974307055982,15,-23.655928494935235,10,-12.88776897414059,-3.391518151089629,-12.414168766148752,-2.9209808861526474,-12.19658102351994,-2.439316204703988,-11.827964247467618,-2.3655928494935234
1281,burnt,saice,godly,whomp,jeffs,-71.2579795424986,21,-51.512271980082716,19,-35.962413671721464,15,-22.93934952807099,10,-14.25159590849972,-3.393237121071362,-12.878067995020679,-2.7111722094780375,-11.987471223907155,-2.397494244781431,-11.469674764035496,-2.293934952807099
1282,shirk,coate,bludy,paven,gemma,-66.04566672907451,20,-50.09212169045774,18,-36.59186469613753,15,-23.58374324413998,10,-13.209133345814902,-3.3022833364537254,-12.523030422614434,-2.782895649469874,-12.197288232045842,-2.4394576464091684,-11.79187162206999,-2.3583743244139983
1283,stagy,crine,mould,wheep,baffs,-68.67887590476559,20,-51.27495153710767,18,-36.93670316668136,15,-23.502660646647996,10,-13.735775180953118,-3.4339437952382794,-12.818737884276917,-2.8486084187282037,-12.312234388893787,-2.4624468777787576,-11.751330323323998,-2.3502660646647997
1284,bossy,crane,guilt,whomp,faded,-64.66313226853629,20,-51.44264807455285,18,-35.8927897661916,14,-23.35999686777642,9,-12.932626453707257,-3.2331566134268144,-12.860662018638212,-2.857924893030714,-11.9642632553972,-2.563770697585114,-11.67999843388821,-2.5955552075307136
1285,trave,soily,chunk,faded,bebop,-64.83510592626631,19,-49.74524124282244,17,-36.52475704883901,15,-23.11664317297486,10,-12.967021185253262,-3.4123739961192796,-12.43631031070561,-2.9261906613424964,-12.174919016279668,-2.4349838032559337,-11.55832158648743,-2.311664317297486
1286,clave,shiny,grout,boded,kamik,-65.69851298644107,19,-49.659759403830066,17,-36.59282740979488,15,-23.65901283417029,10,-13.139702597288215,-3.457816472970583,-12.414939850957516,-2.9211623178723567,-12.197609136598293,-2.4395218273196586,-11.829506417085145,-2.365901283417029
1287,ronte,saucy,whilk,bided,gramp,-65.25363297326354,20,-50.86964286768447,17,-37.48112724952182,15,-23.570050265785547,10,-13.050726594652707,-3.2626816486631767,-12.717410716921117,-2.992331933393204,-12.49370908317394,-2.498741816634788,-11.785025132892773,-2.3570050265785545
1288,lance,soupy,brith,meved,quaff,-69.0914201880854,20,-51.37421339012027,18,-37.26991882930788,15,-24.754669780050456,10,-13.81828403761708,-3.45457100940427,-12.843553347530067,-2.8541229661177927,-12.42330627643596,-2.4846612552871923,-12.377334890025228,-2.475466978005046
1289,brede,soily,chant,flump,gawks,-67.55530486691002,21,-50.22548847140583,18,-35.107057822821844,14,-23.118191760198773,9,-13.511060973382005,-3.2169192793766674,-12.556372117851458,-2.7903049150781016,-11.702352607607281,-2.5076469873444176,-11.559095880099386,-2.568687973355419
1290,gride,slaty,pouch,known,bemix,-70.77795122048292,21,-54.08750629503787,18,-36.508092786405186,15,-23.45397031959095,10,-14.155590244096583,-3.3703786295468054,-13.521876573759467,-3.0048614608354374,-12.169364262135062,-2.4338728524270126,-11.726985159795476,-2.345397031959095
1291,salad,crine,pouty,hewgh,flamm,-66.88629879296843,19,-52.10412898686048,17,-35.69114555011603,14,-23.506482515491857,9,-13.377259758593686,-3.5203315154193913,-13.02603224671512,-3.0649487639329696,-11.897048516705345,-2.5493675392940025,-11.753241257745929,-2.6118313906102064
1292,graal,souce,whiny,dempt,vibex,-68.68137703620866,21,-51.06580650723453,18,-36.13783627405645,14,-23.506194147542825,9,-13.736275407241731,-3.2705417636289837,-12.766451626808632,-2.8369892504019183,-12.045945424685483,-2.5812740195754604,-11.753097073771412,-2.6117993497269807
1293,sabed,crony,guilt,whump,koffs,-71.82218594344637,21,-52.218206540859185,19,-36.27907781030976,15,-23.74628491189458,10,-14.364437188689275,-3.420104092545065,-13.054551635214796,-2.7483266600452203,-12.09302593676992,-2.4186051873539838,-11.87314245594729,-2.374628491189458
1294,prank,soily,chute,faded,bemix,-65.39198201120459,20,-48.70153708575953,17,-35.4810528917761,15,-23.120986006209765,10,-13.078396402240918,-3.2695991005602294,-12.175384271439883,-2.8647962991623253,-11.827017630592033,-2.3654035261184068,-11.560493003104883,-2.3120986006209767
1295,fruit,slane,choky,boded,guimp,-64.03008144951195,20,-49.14336185570329,17,-36.0764298616681,15,-23.037150851073868,10,-12.806016289902391,-3.201504072475598,-12.285840463925823,-2.890785991511958,-12.025476620556034,-2.405095324111207,-11.518575425536934,-2.303715085107387
1296,rater,soily,chunk,budge,flamm,-64.9311856581214,19,-50.14901585201345,17,-36.529982866545325,14,-23.12186899068118,9,-12.986237131624279,-3.417430824111652,-12.537253963003362,-2.9499421089419675,-12.176660955515109,-2.609284490467523,-11.56093449534059,-2.569096554520131
1297,targe,soily,chunk,bided,flamm,-64.7026932120188,19,-49.92052340591085,17,-36.5320077877482,15,-23.123893911884053,10,-12.94053864240376,-3.4054049058957263,-12.480130851477712,-2.9365013768182853,-12.1773359292494,-2.43546718584988,-11.561946955942027,-2.3123893911884053
1298,hooty,saine,pluck,fremd,bewig,-66.36829835701771,21,-50.387000953479046,18,-36.35715757521723,14,-22.771069228420146,9,-13.273659671403541,-3.1603951598579862,-12.596750238369761,-2.799277830748836,-12.11905252507241,-2.5969398268012305,-11.385534614210073,-2.530118803157794
1299,seaze,crony,built,whump,faded,-65.03852217682268,20,-51.81803798283926,18,-35.87890925228983,14,-23.751581461982823,9,-13.007704435364536,-3.251926108841134,-12.954509495709814,-2.878779887935514,-11.959636417429943,-2.5627792323064162,-11.875790730991412,-2.6390646068869805
1300,frape,soily,bundt,chowk,maxim,-68.65236971707469,21,-51.71404156357998,19,-36.74380849508408,15,-23.125619510228724,10,-13.730473943414939,-3.2691604627178426,-12.928510390894996,-2.7217916612410518,-12.247936165028028,-2.4495872330056057,-11.562809755114362,-2.3125619510228725
1301,telly,saick,brond,whump,quaff,-70.41960912670893,21,-52.702402328743815,19,-36.76327359819439,14,-24.267358901815783,9,-14.083921825341786,-3.353314720319473,-13.175600582185954,-2.7738106488812533,-12.254424532731463,-2.625948114156742,-12.133679450907891,-2.696373211312865
1302,broch,saine,fluty,domed,wigga,-65.29300890591443,19,-49.038907248123294,17,-35.32781987092743,15,-22.77377122610342,10,-13.058601781182887,-3.436474152942865,-12.259726812030824,-2.884641602830782,-11.77593995697581,-2.355187991395162,-11.38688561305171,-2.277377122610342
1303,arish,coney,flump,skatt,badge,-66.18537647584444,20,-53.05554665012914,17,-38.83205541098182,15,-23.71362476239784,10,-13.237075295168887,-3.309268823792222,-13.263886662532284,-3.1209145088311256,-12.944018470327274,-2.588803694065455,-11.85681238119892,-2.371362476239784
1304,glair,souce,nymph,twixt,baddy,-73.2193932811019,20,-59.84206146024036,18,-42.434411698043945,15,-23.51482929589533,10,-14.64387865622038,-3.660969664055095,-14.96051536506009,-3.3245589700133533,-14.144803899347982,-2.8289607798695964,-11.757414647947664,-2.3514829295895328
1305,croak,shine,fluty,boded,maxim,-66.07842399491724,19,-49.140095841422536,17,-36.07316384738735,15,-23.51911520256334,10,-13.21568479898345,-3.4778117892061706,-12.285023960355634,-2.890593873024855,-12.024387949129116,-2.4048775898258232,-11.75955760128167,-2.3519115202563343
1306,brisk,coate,plumy,nudzh,gaffs,-72.1770821890407,21,-54.36769271327463,19,-36.81746085787299,15,-23.59873999946872,10,-14.43541643780814,-3.437003913763843,-13.591923178318657,-2.8614575112249803,-12.272486952624329,-2.4544973905248657,-11.79936999973436,-2.359873999946872
1307,brith,slane,comfy,puked,jaggs,-70.47231617001424,21,-52.67555659141742,19,-37.24294895928815,15,-23.04576923166391,10,-14.094463234002848,-3.3558245795244876,-13.168889147854355,-2.772397715337759,-12.414316319762717,-2.4828632639525434,-11.522884615831956,-2.3045769231663913
1308,booky,saine,cruft,dwalm,pujah,-69.13517368266041,21,-52.021105308726625,18,-36.395491936664264,14,-22.77679990312913,9,-13.827034736532081,-3.2921511277457336,-13.005276327181656,-2.890061406040368,-12.131830645554755,-2.5996779954760187,-11.388399951564566,-2.5307555447921257
1309,whare,soily,bundt,crock,plump,-64.40781896267794,19,-49.33225201852573,17,-36.74861357149106,15,-23.130424586635705,10,-12.881563792535587,-3.3898852085619966,-12.333063004631432,-2.901897177560337,-12.249537857163688,-2.4499075714327376,-11.565212293317852,-2.3130424586635705
1310,anise,borty,pluck,hewgh,faded,-67.73595836011094,20,-54.51547416612752,18,-38.10249072938307,15,-24.516402382585987,10,-13.547191672022189,-3.386797918005547,-13.62886854153188,-3.028637453673751,-12.70083024312769,-2.540166048625538,-12.258201191292994,-2.451640238258599
1311,sheal,crony,putid,gamme,blaff,-67.239708842793,19,-51.58066259424107,17,-37.73206978791994,15,-23.75672476905962,10,-13.447941768558598,-3.538932044357526,-12.895165648560267,-3.034156623190651,-12.577356595973313,-2.5154713191946625,-11.87836238452981,-2.375672476905962
1312,doest,briny,caulk,whomp,quaff,-69.85241135210373,21,-52.135204554138596,19,-36.585346245777345,15,-23.805074452065377,10,-13.970482270420746,-3.32630530248113,-13.033801138534649,-2.7439581344283472,-12.195115415259115,-2.439023083051823,-11.902537226032688,-2.3805074452065376
