,w1,w2,w3,w4,w5,tglp5,nu5,tglp4,nu4,tglp3,nu3,tglp2,nu2,mean_tglp2,mean_tglp_per_unique2,mean_tglp3,mean_tglp_per_unique3,mean_tglp4,mean_tglp_per_unique4,mean_tglp5,mean_tglp_per_unique5
62,sorer,gaily,bundt,whack,frump,2.0993520518358535,21,1.8004319654427647,18,1.4552915766738663,14,1.1010799136069114,9,0.5505399568034557,0.12234221262299015,0.4850971922246221,0.1039493983338476,0.4501079913606912,0.1000239980801536,0.4198704103671707,0.09996914532551683
63,crine,slaty,bough,faded,kempt,2.2129589632829374,20,1.9425485961123112,17,1.5317494600431967,15,1.172354211663067,10,0.5861771058315335,0.1172354211663067,0.5105831533477322,0.10211663066954645,0.4856371490280778,0.11426756447719477,0.4425917926565875,0.11064794816414687
64,stale,crony,guimp,vozhd,wauff,1.8894168466522678,21,1.6246220302375807,19,1.4177105831533474,15,1.1192224622030236,10,0.5596112311015118,0.11192224622030236,0.47257019438444914,0.09451403887688983,0.40615550755939517,0.08550642264408319,0.3778833693304536,0.08997223079296514
65,snare,doily,butch,frump,gawks,1.9468682505399568,21,1.7153347732181423,18,1.416414686825054,15,1.0876889848812095,10,0.5438444924406047,0.10876889848812095,0.47213822894168467,0.09442764578833693,0.4288336933045356,0.09529637628989679,0.38937365010799135,0.09270801193047414
66,crate,soily,bundh,kamik,pluff,2.031533477321814,19,1.785745140388769,17,1.5023758099352054,15,1.1974082073434127,10,0.5987041036717063,0.11974082073434127,0.5007919366450685,0.10015838732901369,0.44643628509719224,0.10504383178757465,0.4063066954643628,0.10692281459588496
67,sarge,bliny,chout,domed,quaff,2.118358531317494,19,1.8691144708423324,17,1.485961123110151,15,1.088120950323974,10,0.544060475161987,0.10881209503239739,0.49532037437005033,0.09906407487401007,0.4672786177105831,0.10994791004954896,0.4236717062634988,0.11149255427986811
68,spree,coaly,quint,hewgh,fremd,2.103671706263499,20,1.7727861771058315,17,1.534341252699784,14,1.141252699784017,9,0.5706263498920086,0.12680585553155746,0.5114470842332614,0.10959580376427028,0.4431965442764579,0.1042815398297548,0.4207343412526998,0.10518358531317495
69,sonny,crate,build,whomp,gaffs,2.0215982721382293,20,1.799136069114471,18,1.5421166306695469,14,1.1511879049676028,9,0.5755939524838014,0.12790976721862254,0.514038876889849,0.11015118790496763,0.4497840172786178,0.09995200383969284,0.40431965442764584,0.10107991360691146
70,shore,gaily,bundt,crack,pouff,2.1792656587473003,19,1.8997840172786178,17,1.4518358531317497,15,1.0976241900647947,10,0.5488120950323974,0.10976241900647947,0.4839452843772499,0.09678905687544997,0.47494600431965445,0.11175200101638928,0.43585313174946005,0.11469819256564738
71,suave,crony,glift,whump,boded,2.130885529157667,21,1.7149028077753778,19,1.4920086393088552,15,1.1161987041036716,10,0.5580993520518358,0.11161987041036717,0.49733621310295173,0.09946724262059034,0.42872570194384446,0.09025804251449357,0.42617710583153345,0.10147073948369843
72,sluse,crony,baith,domed,quaff,2.18876889848812,18,1.9395248380129586,16,1.5563714902807773,14,1.1153347732181425,9,0.5576673866090712,0.12392608591312694,0.5187904967602591,0.11116939216291266,0.48488120950323965,0.12122030237580991,0.43775377969762397,0.12159827213822888
73,crise,goaty,blunk,whomp,faded,2.1209503239740823,21,1.7101511879049676,19,1.4531317494600433,15,1.0928725701943844,10,0.5464362850971922,0.10928725701943845,0.48437724982001445,0.0968754499640029,0.4275377969762419,0.09000795725815619,0.42419006479481647,0.1009976344749563
74,slide,crony,ghaut,kopek,bemix,2.121814254859611,20,1.8444924406047514,17,1.5041036717062635,15,1.114902807775378,10,0.557451403887689,0.1114902807775378,0.5013678905687545,0.1002735781137509,0.46112311015118784,0.10849955532969126,0.42436285097192217,0.10609071274298054
75,stare,bliny,pouch,faded,muzak,2.125269978401727,20,1.8747300215982718,17,1.4639308855291575,15,1.085097192224622,10,0.542548596112311,0.10850971922246219,0.4879769618430525,0.0975953923686105,0.46868250539956796,0.11027823656460423,0.4250539956803454,0.10626349892008635
76,slime,crony,ghaut,boded,qapik,2.2030237580993517,20,1.919654427645788,17,1.5036717062634988,15,1.1144708423326133,10,0.5572354211663066,0.11144708423326133,0.501223902087833,0.10024478041756658,0.479913606911447,0.11292084868504636,0.44060475161987034,0.11015118790496758
77,skiey,brant,could,whomp,gaffe,2.127861771058315,21,1.7377969762419008,19,1.4807775377969765,15,1.0825053995680347,10,0.5412526997840174,0.10825053995680348,0.4935925125989922,0.09871850251979844,0.4344492440604752,0.09146299874957373,0.42557235421166306,0.10132675100277691
78,sorry,faine,mulct,khaph,bided,2.156371490280778,19,1.7736501079913607,17,1.4885529157667388,14,1.1386609071274298,9,0.5693304535637149,0.12651787856971441,0.4961843052555796,0.10632520826905277,0.4434125269978402,0.10433235929360946,0.4312742980561556,0.11349323633056725
79,brace,soily,thunk,faded,gemma,2.1658747300215984,19,1.92829373650108,17,1.5174946004319656,15,1.1922246220302377,10,0.5961123110151189,0.11922246220302377,0.5058315334773219,0.10116630669546438,0.48207343412527,0.11342904332359294,0.43317494600431966,0.11399340684324202
80,shiny,coate,frump,dwell,vibex,2.0038876889848813,21,1.7326133909287258,18,1.4518358531317495,15,1.1529157667386611,10,0.5764578833693306,0.11529157667386611,0.4839452843772498,0.09678905687544996,0.43315334773218145,0.09625629949604032,0.4007775377969763,0.09542322328499435
81,corey,saint,flump,hewgh,kibbe,1.9861771058315336,20,1.6721382289416846,18,1.433693304535637,15,1.1632829373650109,10,0.5816414686825054,0.11632829373650108,0.4778977681785457,0.09557955363570914,0.41803455723542116,0.09289656827453803,0.3972354211663067,0.09930885529157668
82,gooey,saint,churl,buffe,dwalm,2.166306695464363,19,1.8786177105831532,16,1.5144708423326134,14,1.1624190064794817,9,0.5812095032397409,0.12915766738660908,0.5048236141108712,0.10817648873804382,0.4696544276457883,0.11741360691144707,0.4332613390928726,0.11401614186654542
83,spale,crony,whift,muxed,bobak,2.1088552915766736,21,1.7697624190064793,19,1.4496760259179264,15,1.1123110151187903,10,0.5561555075593951,0.11123110151187902,0.48322534197264216,0.09664506839452842,0.44244060475161984,0.09314539047402523,0.42177105831533473,0.10042168055127017
84,cadee,soily,brunt,whomp,quaff,2.1460043196544274,20,1.8967602591792656,18,1.6397408207343414,14,1.1904967602591794,9,0.5952483801295897,0.13227741780657548,0.5465802735781138,0.11712434433816724,0.4741900647948164,0.10537556995440364,0.42920086393088547,0.10730021598272137
85,sonsy,crate,build,whomp,gaffs,2.0168466522678186,20,1.7943844492440604,18,1.5373650107991361,14,1.1464362850971923,9,0.5732181425485962,0.12738180945524358,0.5124550035997121,0.10981178648565258,0.4485961123110151,0.09968802495800336,0.4033693304535637,0.10084233261339093
86,seize,coaly,brunt,whomp,faded,2.252267818574514,20,1.8414686825053996,18,1.5844492440604754,14,1.1352051835853132,9,0.5676025917926566,0.126133909287257,0.5281497480201585,0.11317494600431967,0.4603671706263499,0.10230381569474442,0.45045356371490286,0.11261339092872572
87,shote,briny,cauld,kopek,flamm,2.1848812095032395,19,1.8591792656587474,17,1.5187904967602595,15,1.109719222462203,10,0.5548596112311015,0.1109719222462203,0.5062634989200865,0.1012526997840173,0.46479481641468684,0.10936348621522043,0.4369762419006479,0.11499374786859155
88,sleet,crony,faugh,bovid,muzak,2.0505399568034557,21,1.8,18,1.4643628509719222,14,1.1101511879049675,9,0.5550755939524837,0.12335013198944084,0.48812095032397407,0.10459734649799445,0.45,0.1,0.41010799136069115,0.0976447598477836
89,crone,slaty,guimp,vozhd,wauff,1.9330453563714902,21,1.6682505399568033,19,1.46133909287257,15,1.1628509719222462,10,0.5814254859611231,0.11628509719222462,0.48711303095752334,0.09742260619150467,0.4170626349892008,0.08780265999772649,0.38660907127429806,0.09204977887483287
90,state,crony,build,whump,gaffs,1.9455723542116632,20,1.723110151187905,18,1.5002159827213823,14,1.1092872570194383,9,0.5546436285097192,0.12325413966882648,0.5000719942404608,0.10715828448009874,0.43077753779697625,0.09572834173266138,0.38911447084233264,0.09727861771058316
91,sable,crony,whipt,fumed,glaik,2.1930885529157664,21,1.8069114470842331,19,1.453131749460043,15,1.1092872570194383,10,0.5546436285097192,0.11092872570194383,0.48437724982001434,0.09687544996400287,0.4517278617710583,0.09510060247811754,0.4386177105831533,0.10443278823408411
92,brine,slaty,pouch,faded,muzak,2.2017278617710576,20,1.9511879049676024,17,1.540388768898488,15,1.1615550755939525,10,0.5807775377969763,0.11615550755939526,0.5134629229661627,0.10269258459323254,0.4877969762419006,0.11477575911574132,0.4403455723542115,0.11008639308855288
93,faine,surly,botch,piped,gemma,2.0712742980561556,19,1.833693304535637,17,1.47170626349892,15,1.1028077753779697,10,0.5514038876889849,0.11028077753779697,0.49056875449964,0.09811375089992799,0.45842332613390924,0.10786431203150805,0.4142548596112311,0.10901443673979766
94,scree,gaily,fount,bumph,dewax,2.028509719222462,21,1.7909287257019437,18,1.5278617710583153,14,1.0894168466522678,9,0.5447084233261339,0.12104631629469642,0.5092872570194384,0.10913298364702252,0.44773218142548593,0.09949604031677466,0.40570194384449243,0.09659570091535534
95,prase,bliny,chout,faded,skegg,2.176673866090713,19,1.8872570194384448,17,1.4764578833693305,15,1.0786177105831534,10,0.5393088552915767,0.10786177105831533,0.4921526277897768,0.09843052555795537,0.4718142548596112,0.11101511879049675,0.4353347732181426,0.114561782425827
96,seely,brant,hoick,pudge,maxim,2.115766738660907,20,1.8466522678185744,18,1.4565874730021597,14,1.076889848812095,9,0.5384449244060475,0.11965442764578833,0.4855291576673866,0.10404196235729712,0.4616630669546436,0.10259179265658747,0.4231533477321814,0.10578833693304535
97,spare,bliny,chout,faded,muzak,2.1373650107991353,20,1.8868250539956801,17,1.4760259179265658,15,1.0781857451403887,10,0.5390928725701943,0.10781857451403887,0.49200863930885524,0.09840172786177105,0.47170626349892003,0.11098970905856942,0.4274730021598271,0.10686825053995677
98,sonly,crate,guimp,faded,bekah,2.166738660907127,20,1.8518358531317494,17,1.441036717062635,15,1.1425485961123112,10,0.5712742980561556,0.11425485961123112,0.48034557235421166,0.09606911447084233,0.46295896328293734,0.10893152077245584,0.43334773218142536,0.10833693304535634
99,sente,coaly,brugh,piked,maxim,2.0971922246220305,20,1.8280777537796977,18,1.4859611231101513,14,1.1317494600431965,9,0.5658747300215983,0.1257499400047996,0.49532037437005044,0.10614008022215367,0.45701943844492443,0.1015598752099832,0.4194384449244061,0.10485961123110152
